Id Documento;Empresa;Sucursal;Área;Número de Factura;CUIT;Razón Social que Factura;Tipo de Documento;Fecha de Factura;Importe Total;Moneda;Descripción;Cuenta Personal
200012;TAGLE;Cordoba;Sistemas Aplicaciones Negocio;00001-00000012;30709988464;PROVEEDOR TEST 12;Factura;02/01/2026;1012.50;Pesos;Descripcion de prueba 12;SISTEMAS - LICENCIAS SISTEMAS - ST07
200013;TAGLE;Cordoba;Sistemas Aplicaciones Negocio;00001-00000013;30709988464;PROVEEDOR TEST 13;Factura;02/01/2026;1013.50;Pesos;Descripcion de prueba 13;SISTEMAS - LICENCIAS SISTEMAS - ST07
200014;TAGLE;Cordoba;Sistemas Aplicaciones Negocio;00001-00000014;30709988464;PROVEEDOR TEST 14;Factura;02/01/2026;1014.50;Pesos;Descripcion de prueba 14;SISTEMAS - LICENCIAS SISTEMAS - ST07
200015;TAGLE;Cordoba;Sistemas Aplicaciones Negocio;00001-00000015;30709988464;PROVEEDOR TEST 15;Factura;02/01/2026;1015.50;Pesos;Descripcion de prueba 15;SISTEMAS - LICENCIAS SISTEMAS - ST07
200016;TAGLE;Cordoba;Sistemas Aplicaciones Negocio;00001-00000016;30709988464;PROVEEDOR TEST 16;Factura;02/01/2026;1016.50;Pesos;Descripcion de prueba 16;SISTEMAS - LICENCIAS SISTEMAS - ST07
200017;TAGLE;Cordoba;Sistemas Aplicaciones Negocio;00001-00000017;30709988464;PROVEEDOR TEST 17;Factura;02/01/2026;1017.50;Pesos;Descripcion de prueba 17;SISTEMAS - LICENCIAS SISTEMAS - ST07
200018;TAGLE;Cordoba;Sistemas Aplicaciones Negocio;00001-00000018;30709988464;PROVEEDOR TEST 18;Factura;02/01/2026;1018.50;Pesos;Descripcion de prueba 18;SISTEMAS - LICENCIAS SISTEMAS - ST07
200019;TAGLE;Cordoba;Sistemas Aplicaciones Negocio;00001-00000019;30709988464;PROVEEDOR TEST 19;Factura;02/01/2026;1019.50;Pesos;Descripcion de prueba 19;SISTEMAS - LICENCIAS SISTEMAS - ST07
200020;TAGLE;Cordoba;Sistemas Aplicaciones Negocio;00001-00000020;30709988464;PROVEEDOR TEST 20;Factura;02/01/2026;1020.50;Pesos;Descripcion de prueba 20;SISTEMAS - LICENCIAS SISTEMAS - ST07
200021;TAGLE;Cordoba;Sistemas Aplicaciones Negocio;00001-00000021;30709988464;PROVEEDOR TEST 21;Factura;02/01/2026;1021.50;Pesos;Descripcion de prueba 21;SISTEMAS - LICENCIAS SISTEMAS - ST07
200022;TAGLE;Cordoba;Sistemas Aplicaciones Negocio;00001-00000022;30709988464;PROVEEDOR TEST 22;Factura;02/01/2026;1022.50;Pesos;Descripcion de prueba 22;SISTEMAS - LICENCIAS SISTEMAS - ST07
200023;TAGLE;Cordoba;Sistemas Aplicaciones Negocio;00001-00000023;30709988464;PROVEEDOR TEST 23;Factura;02/01/2026;1023.50;Pesos;Descripcion de prueba 23;SISTEMAS - LICENCIAS SISTEMAS - ST07
200024;TAGLE;Cordoba;Sistemas Aplicaciones Negocio;00001-00000024;30709988464;PROVEEDOR TEST 24;Factura;02/01/2026;1024.50;Pesos;Descripcion de prueba 24;SISTEMAS - LICENCIAS SISTEMAS - ST07
200025;TAGLE;Cordoba;Sistemas Aplicaciones Negocio;00001-00000025;30709988464;PROVEEDOR TEST 25;Factura;02/01/2026;1025.50;Pesos;Descripcion de prueba 25;SISTEMAS - LICENCIAS SISTEMAS - ST07
200026;TAGLE;Cordoba;Sistemas Aplicaciones Negocio;00001-00000026;30709988464;PROVEEDOR TEST 26;Factura;02/01/2026;1026.50;Pesos;Descripcion de prueba 26;SISTEMAS - LICENCIAS SISTEMAS - ST07
200027;TAGLE;Cordoba;Sistemas Aplicaciones Negocio;00001-00000027;30709988464;PROVEEDOR TEST 27;Factura;02/01/2026;1027.50;Pesos;Descripcion de prueba 27;SISTEMAS - LICENCIAS SISTEMAS - ST07
200028;TAGLE;Cordoba;Sistemas Aplicaciones Negocio;00001-00000028;30709988464;PROVEEDOR TEST 28;Factura;02/01/2026;1028.50;Pesos;Descripcion de prueba 28;SISTEMAS - LICENCIAS SISTEMAS - ST07
200029;TAGLE;Cordoba;Sistemas Aplicaciones Negocio;00001-00000029;30709988464;PROVEEDOR TEST 29;Factura;02/01/2026;1029.50;Pesos;Descripcion de prueba 29;SISTEMAS - LICENCIAS SISTEMAS - ST07
200030;TAGLE;Cordoba;Sistemas Aplicaciones Negocio;00001-00000030;30709988464;PROVEEDOR TEST 30;Factura;02/01/2026;1030.50;Pesos;Descripcion de prueba 30;SISTEMAS - LICENCIAS SISTEMAS - ST07
200031;TAGLE;Cordoba;Sistemas Aplicaciones Negocio;00001-00000031;30709988464;PROVEEDOR TEST 31;Factura;02/01/2026;1031.50;Pesos;Descripcion de prueba 31;SISTEMAS - LICENCIAS SISTEMAS - ST07
200032;TAGLE;Cordoba;Sistemas Aplicaciones Negocio;00001-00000032;30709988464;PROVEEDOR TEST 32;Factura;02/01/2026;1032.50;Pesos;Descripcion de prueba 32;SISTEMAS - LICENCIAS SISTEMAS - ST07
200033;TAGLE;Cordoba;Sistemas Aplicaciones Negocio;00001-00000033;30709988464;PROVEEDOR TEST 33;Factura;02/01/2026;1033.50;Pesos;Descripcion de prueba 33;SISTEMAS - LICENCIAS SISTEMAS - ST07
200034;TAGLE;Cordoba;Sistemas Aplicaciones Negocio;00001-00000034;30709988464;PROVEEDOR TEST 34;Factura;02/01/2026;1034.50;Pesos;Descripcion de prueba 34;SISTEMAS - LICENCIAS SISTEMAS - ST07
200035;TAGLE;Cordoba;Sistemas Aplicaciones Negocio;00001-00000035;30709988464;PROVEEDOR TEST 35;Factura;02/01/2026;1035.50;Pesos;Descripcion de prueba 35;SISTEMAS - LICENCIAS SISTEMAS - ST07
200036;TAGLE;Cordoba;Sistemas Aplicaciones Negocio;00001-00000036;30709988464;PROVEEDOR TEST 36;Factura;02/01/2026;1036.50;Pesos;Descripcion de prueba 36;SISTEMAS - LICENCIAS SISTEMAS - ST07
200037;TAGLE;Cordoba;Sistemas Aplicaciones Negocio;00001-00000037;30709988464;PROVEEDOR TEST 37;Factura;02/01/2026;1037.50;Pesos;Descripcion de prueba 37;SISTEMAS - LICENCIAS SISTEMAS - ST07
200038;TAGLE;Cordoba;Sistemas Aplicaciones Negocio;00001-00000038;30709988464;PROVEEDOR TEST 38;Factura;02/01/2026;1038.50;Pesos;Descripcion de prueba 38;SISTEMAS - LICENCIAS SISTEMAS - ST07
200039;TAGLE;Cordoba;Sistemas Aplicaciones Negocio;00001-00000039;30709988464;PROVEEDOR TEST 39;Factura;02/01/2026;1039.50;Pesos;Descripcion de prueba 39;SISTEMAS - LICENCIAS SISTEMAS - ST07
200040;TAGLE;Cordoba;Sistemas Aplicaciones Negocio;00001-00000040;30709988464;PROVEEDOR TEST 40;Factura;02/01/2026;1040.50;Pesos;Descripcion de prueba 40;SISTEMAS - LICENCIAS SISTEMAS - ST07
200041;TAGLE;Cordoba;Sistemas Aplicaciones Negocio;00001-00000041;30709988464;PROVEEDOR TEST 41;Factura;02/01/2026;1041.50;Pesos;Descripcion de prueba 41;SISTEMAS - LICENCIAS SISTEMAS - ST07
200042;TAGLE;Cordoba;Sistemas Aplicaciones Negocio;00001-00000042;30709988464;PROVEEDOR TEST 42;Factura;02/01/2026;1042.50;Pesos;Descripcion de prueba 42;SISTEMAS - LICENCIAS SISTEMAS - ST07
200043;TAGLE;Cordoba;Sistemas Aplicaciones Negocio;00001-00000043;30709988464;PROVEEDOR TEST 43;Factura;02/01/2026;1043.50;Pesos;Descripcion de prueba 43;SISTEMAS - LICENCIAS SISTEMAS - ST07
200044;TAGLE;Cordoba;Sistemas Aplicaciones Negocio;00001-00000044;30709988464;PROVEEDOR TEST 44;Factura;02/01/2026;1044.50;Pesos;Descripcion de prueba 44;SISTEMAS - LICENCIAS SISTEMAS - ST07
200045;TAGLE;Cordoba;Sistemas Aplicaciones Negocio;00001-00000045;30709988464;PROVEEDOR TEST 45;Factura;02/01/2026;1045.50;Pesos;Descripcion de prueba 45;SISTEMAS - LICENCIAS SISTEMAS - ST07
200046;TAGLE;Cordoba;Sistemas Aplicaciones Negocio;00001-00000046;30709988464;PROVEEDOR TEST 46;Factura;02/01/2026;1046.50;Pesos;Descripcion de prueba 46;SISTEMAS - LICENCIAS SISTEMAS - ST07
200047;TAGLE;Cordoba;Sistemas Aplicaciones Negocio;00001-00000047;30709988464;PROVEEDOR TEST 47;Factura;02/01/2026;1047.50;Pesos;Descripcion de prueba 47;SISTEMAS - LICENCIAS SISTEMAS - ST07
200048;TAGLE;Cordoba;Sistemas Aplicaciones Negocio;00001-00000048;30709988464;PROVEEDOR TEST 48;Factura;02/01/2026;1048.50;Pesos;Descripcion de prueba 48;SISTEMAS - LICENCIAS SISTEMAS - ST07
200049;TAGLE;Cordoba;Sistemas Aplicaciones Negocio;00001-00000049;30709988464;PROVEEDOR TEST 49;Factura;02/01/2026;1049.50;Pesos;Descripcion de prueba 49;SISTEMAS - LICENCIAS SISTEMAS - ST07
200050;TAGLE;Cordoba;Sistemas Aplicaciones Negocio;00001-00000050;30709988464;PROVEEDOR TEST 50;Factura;02/01/2026;1050.50;Pesos;Descripcion de prueba 50;SISTEMAS - LICENCIAS SISTEMAS - ST07
200051;TAGLE;Cordoba;Sistemas Aplicaciones Negocio;00001-00000051;30709988464;PROVEEDOR TEST 51;Factura;02/01/2026;1051.50;Pesos;Descripcion de prueba 51;SISTEMAS - LICENCIAS SISTEMAS - ST07
200052;TAGLE;Cordoba;Sistemas Aplicaciones Negocio;00001-00000052;30709988464;PROVEEDOR TEST 52;Factura;02/01/2026;1052.50;Pesos;Descripcion de prueba 52;SISTEMAS - LICENCIAS SISTEMAS - ST07
200053;TAGLE;Cordoba;Sistemas Aplicaciones Negocio;00001-00000053;30709988464;PROVEEDOR TEST 53;Factura;02/01/2026;1053.50;Pesos;Descripcion de prueba 53;SISTEMAS - LICENCIAS SISTEMAS - ST07
200054;TAGLE;Cordoba;Sistemas Aplicaciones Negocio;00001-00000054;30709988464;PROVEEDOR TEST 54;Factura;02/01/2026;1054.50;Pesos;Descripcion de prueba 54;SISTEMAS - LICENCIAS SISTEMAS - ST07
200055;TAGLE;Cordoba;Sistemas Aplicaciones Negocio;00001-00000055;30709988464;PROVEEDOR TEST 55;Factura;02/01/2026;1055.50;Pesos;Descripcion de prueba 55;SISTEMAS - LICENCIAS SISTEMAS - ST07
200056;TAGLE;Cordoba;Sistemas Aplicaciones Negocio;00001-00000056;30709988464;PROVEEDOR TEST 56;Factura;02/01/2026;1056.50;Pesos;Descripcion de prueba 56;SISTEMAS - LICENCIAS SISTEMAS - ST07
200057;TAGLE;Cordoba;Sistemas Aplicaciones Negocio;00001-00000057;30709988464;PROVEEDOR TEST 57;Factura;02/01/2026;1057.50;Pesos;Descripcion de prueba 57;SISTEMAS - LICENCIAS SISTEMAS - ST07
200058;TAGLE;Cordoba;Sistemas Aplicaciones Negocio;00001-00000058;30709988464;PROVEEDOR TEST 58;Factura;02/01/2026;1058.50;Pesos;Descripcion de prueba 58;SISTEMAS - LICENCIAS SISTEMAS - ST07
200059;TAGLE;Cordoba;Sistemas Aplicaciones Negocio;00001-00000059;30709988464;PROVEEDOR TEST 59;Factura;02/01/2026;1059.50;Pesos;Descripcion de prueba 59;SISTEMAS - LICENCIAS SISTEMAS - ST07
200060;TAGLE;Cordoba;Sistemas Aplicaciones Negocio;00001-00000060;30709988464;PROVEEDOR TEST 60;Factura;02/01/2026;1060.50;Pesos;Descripcion de prueba 60;SISTEMAS - LICENCIAS SISTEMAS - ST07
200061;TAGLE;Cordoba;Sistemas Aplicaciones Negocio;00001-00000061;30709988464;PROVEEDOR TEST 61;Factura;02/01/2026;1061.50;Pesos;Descripcion de prueba 61;SISTEMAS - LICENCIAS SISTEMAS - ST07
200062;TAGLE;Cordoba;Sistemas Aplicaciones Negocio;00001-00000062;30709988464;PROVEEDOR TEST 62;Factura;02/01/2026;1062.50;Pesos;Descripcion de prueba 62;SISTEMAS - LICENCIAS SISTEMAS - ST07
200063;TAGLE;Cordoba;Sistemas Aplicaciones Negocio;00001-00000063;30709988464;PROVEEDOR TEST 63;Factura;02/01/2026;1063.50;Pesos;Descripcion de prueba 63;SISTEMAS - LICENCIAS SISTEMAS - ST07
200064;TAGLE;Cordoba;Sistemas Aplicaciones Negocio;00001-00000064;30709988464;PROVEEDOR TEST 64;Factura;02/01/2026;1064.50;Pesos;Descripcion de prueba 64;SISTEMAS - LICENCIAS SISTEMAS - ST07
200065;TAGLE;Cordoba;Sistemas Aplicaciones Negocio;00001-00000065;30709988464;PROVEEDOR TEST 65;Factura;02/01/2026;1065.50;Pesos;Descripcion de prueba 65;SISTEMAS - LICENCIAS SISTEMAS - ST07
200066;TAGLE;Cordoba;Sistemas Aplicaciones Negocio;00001-00000066;30709988464;PROVEEDOR TEST 66;Factura;02/01/2026;1066.50;Pesos;Descripcion de prueba 66;SISTEMAS - LICENCIAS SISTEMAS - ST07
200067;TAGLE;Cordoba;Sistemas Aplicaciones Negocio;00001-00000067;30709988464;PROVEEDOR TEST 67;Factura;02/01/2026;1067.50;Pesos;Descripcion de prueba 67;SISTEMAS - LICENCIAS SISTEMAS - ST07
200068;TAGLE;Cordoba;Sistemas Aplicaciones Negocio;00001-00000068;30709988464;PROVEEDOR TEST 68;Factura;02/01/2026;1068.50;Pesos;Descripcion de prueba 68;SISTEMAS - LICENCIAS SISTEMAS - ST07
200069;TAGLE;Cordoba;Sistemas Aplicaciones Negocio;00001-00000069;30709988464;PROVEEDOR TEST 69;Factura;02/01/2026;1069.50;Pesos;Descripcion de prueba 69;SISTEMAS - LICENCIAS SISTEMAS - ST07
200070;TAGLE;Cordoba;Sistemas Aplicaciones Negocio;00001-00000070;30709988464;PROVEEDOR TEST 70;Factura;02/01/2026;1070.50;Pesos;Descripcion de prueba 70;SISTEMAS - LICENCIAS SISTEMAS - ST07
200071;TAGLE;Cordoba;Sistemas Aplicaciones Negocio;00001-00000071;30709988464;PROVEEDOR TEST 71;Factura;02/01/2026;1071.50;Pesos;Descripcion de prueba 71;SISTEMAS - LICENCIAS SISTEMAS - ST07
200072;TAGLE;Cordoba;Sistemas Aplicaciones Negocio;00001-00000072;30709988464;PROVEEDOR TEST 72;Factura;02/01/2026;1072.50;Pesos;Descripcion de prueba 72;SISTEMAS - LICENCIAS SISTEMAS - ST07
200073;TAGLE;Cordoba;Sistemas Aplicaciones Negocio;00001-00000073;30709988464;PROVEEDOR TEST 73;Factura;02/01/2026;1073.50;Pesos;Descripcion de prueba 73;SISTEMAS - LICENCIAS SISTEMAS - ST07
200074;TAGLE;Cordoba;Sistemas Aplicaciones Negocio;00001-00000074;30709988464;PROVEEDOR TEST 74;Factura;02/01/2026;1074.50;Pesos;Descripcion de prueba 74;SISTEMAS - LICENCIAS SISTEMAS - ST07
200075;TAGLE;Cordoba;Sistemas Aplicaciones Negocio;00001-00000075;30709988464;PROVEEDOR TEST 75;Factura;02/01/2026;1075.50;Pesos;Descripcion de prueba 75;SISTEMAS - LICENCIAS SISTEMAS - ST07
200076;TAGLE;Cordoba;Sistemas Aplicaciones Negocio;00001-00000076;30709988464;PROVEEDOR TEST 76;Factura;02/01/2026;1076.50;Pesos;Descripcion de prueba 76;SISTEMAS - LICENCIAS SISTEMAS - ST07
200077;TAGLE;Cordoba;Sistemas Aplicaciones Negocio;00001-00000077;30709988464;PROVEEDOR TEST 77;Factura;02/01/2026;1077.50;Pesos;Descripcion de prueba 77;SISTEMAS - LICENCIAS SISTEMAS - ST07
200078;TAGLE;Cordoba;Sistemas Aplicaciones Negocio;00001-00000078;30709988464;PROVEEDOR TEST 78;Factura;02/01/2026;1078.50;Pesos;Descripcion de prueba 78;SISTEMAS - LICENCIAS SISTEMAS - ST07
200079;TAGLE;Cordoba;Sistemas Aplicaciones Negocio;00001-00000079;30709988464;PROVEEDOR TEST 79;Factura;02/01/2026;1079.50;Pesos;Descripcion de prueba 79;SISTEMAS - LICENCIAS SISTEMAS - ST07
200080;TAGLE;Cordoba;Sistemas Aplicaciones Negocio;00001-00000080;30709988464;PROVEEDOR TEST 80;Factura;02/01/2026;1080.50;Pesos;Descripcion de prueba 80;SISTEMAS - LICENCIAS SISTEMAS - ST07
200081;TAGLE;Cordoba;Sistemas Aplicaciones Negocio;00001-00000081;30709988464;PROVEEDOR TEST 81;Factura;02/01/2026;1081.50;Pesos;Descripcion de prueba 81;SISTEMAS - LICENCIAS SISTEMAS - ST07
200082;TAGLE;Cordoba;Sistemas Aplicaciones Negocio;00001-00000082;30709988464;PROVEEDOR TEST 82;Factura;02/01/2026;1082.50;Pesos;Descripcion de prueba 82;SISTEMAS - LICENCIAS SISTEMAS - ST07
200083;TAGLE;Cordoba;Sistemas Aplicaciones Negocio;00001-00000083;30709988464;PROVEEDOR TEST 83;Factura;02/01/2026;1083.50;Pesos;Descripcion de prueba 83;SISTEMAS - LICENCIAS SISTEMAS - ST07
200084;TAGLE;Cordoba;Sistemas Aplicaciones Negocio;00001-00000084;30709988464;PROVEEDOR TEST 84;Factura;02/01/2026;1084.50;Pesos;Descripcion de prueba 84;SISTEMAS - LICENCIAS SISTEMAS - ST07
200085;TAGLE;Cordoba;Sistemas Aplicaciones Negocio;00001-00000085;30709988464;PROVEEDOR TEST 85;Factura;02/01/2026;1085.50;Pesos;Descripcion de prueba 85;SISTEMAS - LICENCIAS SISTEMAS - ST07
200086;TAGLE;Cordoba;Sistemas Aplicaciones Negocio;00001-00000086;30709988464;PROVEEDOR TEST 86;Factura;02/01/2026;1086.50;Pesos;Descripcion de prueba 86;SISTEMAS - LICENCIAS SISTEMAS - ST07
200087;TAGLE;Cordoba;Sistemas Aplicaciones Negocio;00001-00000087;30709988464;PROVEEDOR TEST 87;Factura;02/01/2026;1087.50;Pesos;Descripcion de prueba 87;SISTEMAS - LICENCIAS SISTEMAS - ST07
200088;TAGLE;Cordoba;Sistemas Aplicaciones Negocio;00001-00000088;30709988464;PROVEEDOR TEST 88;Factura;02/01/2026;1088.50;Pesos;Descripcion de prueba 88;SISTEMAS - LICENCIAS SISTEMAS - ST07
200089;TAGLE;Cordoba;Sistemas Aplicaciones Negocio;00001-00000089;30709988464;PROVEEDOR TEST 89;Factura;02/01/2026;1089.50;Pesos;Descripcion de prueba 89;SISTEMAS - LICENCIAS SISTEMAS - ST07
200090;TAGLE;Cordoba;Sistemas Aplicaciones Negocio;00001-00000090;30709988464;PROVEEDOR TEST 90;Factura;02/01/2026;1090.50;Pesos;Descripcion de prueba 90;SISTEMAS - LICENCIAS SISTEMAS - ST07
200091;TAGLE;Cordoba;Sistemas Aplicaciones Negocio;00001-00000091;30709988464;PROVEEDOR TEST 91;Factura;02/01/2026;1091.50;Pesos;Descripcion de prueba 91;SISTEMAS - LICENCIAS SISTEMAS - ST07
200092;TAGLE;Cordoba;Sistemas Aplicaciones Negocio;00001-00000092;30709988464;PROVEEDOR TEST 92;Factura;02/01/2026;1092.50;Pesos;Descripcion de prueba 92;SISTEMAS - LICENCIAS SISTEMAS - ST07
200093;TAGLE;Cordoba;Sistemas Aplicaciones Negocio;00001-00000093;30709988464;PROVEEDOR TEST 93;Factura;02/01/2026;1093.50;Pesos;Descripcion de prueba 93;SISTEMAS - LICENCIAS SISTEMAS - ST07
200094;TAGLE;Cordoba;Sistemas Aplicaciones Negocio;00001-00000094;30709988464;PROVEEDOR TEST 94;Factura;02/01/2026;1094.50;Pesos;Descripcion de prueba 94;SISTEMAS - LICENCIAS SISTEMAS - ST07
200095;TAGLE;Cordoba;Sistemas Aplicaciones Negocio;00001-00000095;30709988464;PROVEEDOR TEST 95;Factura;02/01/2026;1095.50;Pesos;Descripcion de prueba 95;SISTEMAS - LICENCIAS SISTEMAS - ST07
200096;TAGLE;Cordoba;Sistemas Aplicaciones Negocio;00001-00000096;30709988464;PROVEEDOR TEST 96;Factura;02/01/2026;1096.50;Pesos;Descripcion de prueba 96;SISTEMAS - LICENCIAS SISTEMAS - ST07
200097;TAGLE;Cordoba;Sistemas Aplicaciones Negocio;00001-00000097;30709988464;PROVEEDOR TEST 97;Factura;02/01/2026;1097.50;Pesos;Descripcion de prueba 97;SISTEMAS - LICENCIAS SISTEMAS - ST07
200098;TAGLE;Cordoba;Sistemas Aplicaciones Negocio;00001-00000098;30709988464;PROVEEDOR TEST 98;Factura;02/01/2026;1098.50;Pesos;Descripcion de prueba 98;SISTEMAS - LICENCIAS SISTEMAS - ST07
200099;TAGLE;Cordoba;Sistemas Aplicaciones Negocio;00001-00000099;30709988464;PROVEEDOR TEST 99;Factura;02/01/2026;1099.50;Pesos;Descripcion de prueba 99;SISTEMAS - LICENCIAS SISTEMAS - ST07
